Title,Category,Description,Price,Availability,Features
Premium Kitchen Knife Set,Kitchen,Professional 8-piece stainless steel knife set with ergonomic handles and storage block,79.99,In Stock,Sharp blades | Dishwasher safe | Lifetime warranty
Luxury Memory Foam Pillow,Bedroom,Contoured memory foam pillow with cooling gel technology for better sleep,34.99,In Stock,Cooling gel | Hypoallergenic | Machine washable cover
Cordless Vacuum Cleaner,Cleaning & Maintenance,Powerful cordless vacuum with 45min battery life and HEPA filter,149.99,In Stock,HEPA filter | Lightweight | 2-year warranty
Ergonomic Office Chair,Office,Adjustable mesh office chair with lumbar support and armrests,189.99,In Stock,Lumbar support | 360° swivel | Height adjustable
Stainless Steel Water Bottle,Kitchen Utility,Insulated 750ml water bottle keeps drinks cold for 24 hours,24.99,In Stock,BPA-free | Leak-proof | Double-walled insulation
LED Desk Lamp,Desk,Adjustable LED desk lamp with 5 brightness levels and USB charging port,39.99,In Stock,USB charging | Touch control | Energy efficient
Non-Stick Cookware Set,Kitchen,10-piece non-stick cookware set with heat-resistant handles,129.99,In Stock,Non-stick coating | Oven safe | Includes lids
Bamboo Cutting Board Set,Kitchen Utility,Set of 3 bamboo cutting boards in different sizes with juice grooves,29.99,In Stock,Eco-friendly | Knife-friendly | Easy to clean
Electric Toothbrush,Personal Care,Rechargeable electric toothbrush with 5 brushing modes and 2-minute timer,59.99,In Stock,5 modes | 30-day battery | 2 brush heads included
Yoga Mat with Carrying Strap,Comfort & Support,Extra thick 6mm yoga mat with non-slip surface and carrying strap,34.99,In Stock,Non-slip | Eco-friendly | 72 inch length
Car Phone Holder,Automotive Accessory,Universal dashboard and windshield phone mount with 360° rotation,19.99,In Stock,360° rotation | Strong suction | Fits all phones
Shower Caddy Organizer,Bathroom,Rust-proof shower caddy with adjustable shelves and hooks,24.99,In Stock,Rust-proof | No drilling | 4 shelves
Coffee Maker Machine,Kitchen,Programmable coffee maker with 12-cup capacity and auto shut-off,79.99,In Stock,Programmable | Keep-warm function | Reusable filter
Wall-Mounted Coat Rack,Home Organization,Modern wall-mounted coat rack with 6 hooks and shelf,44.99,In Stock,Easy installation | Sturdy | Holds 30kg
Microfiber Cleaning Cloths,Cleaning & Maintenance,Pack of 12 ultra-soft microfiber cleaning cloths for all surfaces,14.99,In Stock,Reusable | Lint-free | Machine washable
Wireless Phone Charger,Desk,Fast wireless charging pad compatible with all Qi-enabled devices,29.99,In Stock,Fast charging | LED indicator | Case-friendly
Storage Ottoman,Living Room,Foldable storage ottoman with soft cushion top and 80L capacity,59.99,In Stock,80L storage | Foldable | Weight capacity 150kg
Air Purifier,Home,HEPA air purifier for rooms up to 400 sq ft with 3-stage filtration,129.99,In Stock,HEPA filter | Quiet operation | 3 fan speeds
Kitchen Scale Digital,Kitchen Utility,Precision digital kitchen scale with tare function and LCD display,19.99,In Stock,Precision 1g | Max 5kg | Auto-off function
Laptop Stand Adjustable,Desk,Ergonomic aluminum laptop stand with 6 height adjustments,39.99,In Stock,6 heights | Cooling design | Portable
