Question,Answer
What products do you sell?,"We offer a wide range of Automotive Accessory, Bathroom, Bedroom, Cleaning & Maintenance, Comfort & Support, Desk, Home, Home Organization, Kitchen, Kitchen Utility, Living Room, Office, Personal Care, Protection Usage, Table."
Are your products original?,"Yes, all our products are 100% original and sourced directly from brands."
Are your products new or refurbished?,All products are brand new.
Where can I find specifications?,Detailed specifications are listed on each individual product's page.
Do you have a physical store?,"Currently, we operate exclusively online to provide the best prices."
How can I place an order?,"Select your items, add them to the cart, and proceed to checkout."
Can I cancel my order?,"Yes, you can cancel before the order is dispatched for delivery."
Can I modify my order?,Modifications are possible only if the order has not yet been processed.
What payment methods do you accept?,"We accept Cash on Delivery (COD), Credit/Debit cards, and Mobile Wallets."
Is online payment safe?,"Yes, we use encrypted payment gateways to ensure your data is secure."
Do you offer discounts?,We have seasonal sales and promotions.
How do I apply a discount code?,"We do not have any discount codes, but we do offer seasonal discounts."
Will I receive an invoice?,"Yes, a digital invoice is sent via email, and a hard copy is included in the box."
How long does delivery take?,Delivery usually takes 3–5 working days depending on your city.
Do you ship all over UAE?,"Yes, we provide nationwide shipping across all cities in UAE."
Do you ship internationally?,"No, but we have planned something for the future."
How much does shipping cost?,Shipping costs depend on the user's city or specific location.
How can I track my order?,"Once shipped, we will email/SMS you a tracking number and a link."
What courier service do you use?,We partner with reliable services from different cities around UAE.
What is your return policy?,We offer a 7 days return policy for most items.
How can I return a product?,Contact our support team to initiate a return request. Team contact +1 4254778523
When will I receive my refund?,Refunds are processed within 5–7 working days after we receive the item.
Can I exchange a product?,"Yes, exchanges are available for size or color issues (subject to stock)."
Do products have a warranty?,"Many items come with a brand warranty; details are on the product page."
What if I receive a damaged item?,Please notify us within 24 hours of delivery for an immediate replacement.
How can I contact support?,"You can reach us via WhatsApp, Email, or Contact at this number. Team contact +1 4254778523"
What are your support hours?,Our Support is available 24/7. You can contact us at anytime you want.
Do you offer WhatsApp support?,"Yes, you can message us at +1 4254778523 for quick queries."
